 # B4526                                                                                            
#pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO                                        
    0.0    0.80848   -1.94781E+05    2.40924E+05    2.91400E-01                                     
    1.0    0.50268   -1.16389E+05    2.31537E+05    3.19009E-01                                     
    3.0    0.40233   -8.70908E+04    2.16464E+05    3.63340E-01                                     
    3.5    0.39042   -8.33780E+04    2.13557E+05    3.71890E-01                                     
    4.0    0.38128   -8.04154E+04    2.10907E+05    3.79686E-01                                     
    4.5    0.37432   -7.80109E+04    2.08406E+05    3.87042E-01                                     
    5.0    0.36913   -7.61237E+04    2.06227E+05    3.93451E-01                                     
    5.5    0.36525   -7.45324E+04    2.04059E+05    3.99826E-01                                     
    6.0    0.36243   -7.32452E+04    2.02093E+05    4.05608E-01                                     
    6.5    0.36058   -7.21973E+04    2.00224E+05    4.11107E-01                                     
    7.0    0.35946   -7.13248E+04    1.98422E+05    4.16405E-01                                     
    8.0    0.35890   -7.00380E+04    1.95145E+05    4.26043E-01                                     
   10.0    0.36255   -6.85471E+04    1.89071E+05    4.43907E-01                                     
   12.0    0.36934   -6.79533E+04    1.83984E+05    4.58869E-01                                     
   15.0    0.38071   -6.77439E+04    1.77940E+05    4.76648E-01                                     
   20.0    0.39750   -6.78593E+04    1.70716E+05    4.97893E-01                                     
   25.0    0.41122   -6.80053E+04    1.65375E+05    5.13602E-01                                     
   35.0    0.43057   -6.81739E+04    1.58334E+05    5.34310E-01                                     
                                                                                                    
 # B4558                                                                                            
#pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO                                        
    0.0    0.81842   -1.94781E+05    2.37996E+05    3.00011E-01                                     
    1.0    0.51212   -1.16389E+05    2.27272E+05    3.31554E-01                                     
    3.0    0.41262   -8.70908E+04    2.11066E+05    3.79216E-01                                     
    3.5    0.40089   -8.33780E+04    2.07983E+05    3.88285E-01                                     
    4.0    0.39193   -8.04154E+04    2.05180E+05    3.96529E-01                                     
    4.5    0.38516   -7.80109E+04    2.02543E+05    4.04285E-01                                     
    5.0    0.38014   -7.61237E+04    2.00249E+05    4.11031E-01                                     
    5.5    0.37648   -7.45324E+04    1.97974E+05    4.17723E-01                                     
    6.0    0.37386   -7.32452E+04    1.95914E+05    4.23781E-01                                     
    6.5    0.37223   -7.21973E+04    1.93959E+05    4.29533E-01                                     
    7.0    0.37133   -7.13248E+04    1.92079E+05    4.35063E-01                                     
    8.0    0.37123   -7.00380E+04    1.88665E+05    4.45102E-01                                     
   10.0    0.37582   -6.85471E+04    1.82396E+05    4.63541E-01                                     
   12.0    0.38357   -6.79533E+04    1.77161E+05    4.78939E-01                                     
   15.0    0.39629   -6.77439E+04    1.70947E+05    4.97215E-01                                     
   20.0    0.41498   -6.78593E+04    1.63524E+05    5.19048E-01                                     
   25.0    0.43027   -6.80053E+04    1.58051E+05    5.35144E-01                                     
   35.0    0.45194   -6.81739E+04    1.50848E+05    5.56330E-01                                     
                                                                                                    
 # B4560                                                                                            
#pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO                                        
    0.0    0.82995   -1.94781E+05    2.34691E+05    3.09732E-01                                     
    1.0    0.52316   -1.16389E+05    2.22472E+05    3.45670E-01                                     
    3.0    0.42480   -8.70908E+04    2.05016E+05    3.97011E-01                                     
    3.5    0.41329   -8.33780E+04    2.01741E+05    4.06644E-01                                     
    4.0    0.40456   -8.04154E+04    1.98774E+05    4.15372E-01                                     
    4.5    0.39803   -7.80109E+04    1.95991E+05    4.23557E-01                                     
    5.0    0.39325   -7.61237E+04    1.93575E+05    4.30663E-01                                     
    5.5    0.38984   -7.45324E+04    1.91185E+05    4.37692E-01                                     
    6.0    0.38749   -7.32452E+04    1.89025E+05    4.44043E-01                                     
    6.5    0.38612   -7.21973E+04    1.86979E+05    4.50060E-01                                     
    7.0    0.38551   -7.13248E+04    1.85017E+05    4.55834E-01                                     
    8.0    0.38597   -7.00380E+04    1.81462E+05    4.66288E-01                                     
   10.0    0.39171   -6.85471E+04    1.74996E+05    4.85306E-01                                     
   12.0    0.40063   -6.79533E+04    1.69615E+05    5.01131E-01                                     
   15.0    0.41500   -6.77439E+04    1.63237E+05    5.19893E-01                                     
   20.0    0.43605   -6.78593E+04    1.55621E+05    5.42291E-01                                     
   25.0    0.45329   -6.80053E+04    1.50026E+05    5.58749E-01                                     
   35.0    0.47784   -6.81739E+04    1.42671E+05    5.80380E-01                                     
                                                                                                    
 # B4562                                                                                            
#pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO                                        
    0.0    0.84029   -1.94781E+05    2.31803E+05    3.18226E-01                                     
    1.0    0.53316   -1.16389E+05    2.18300E+05    3.57940E-01                                     
    3.0    0.43591   -8.70908E+04    1.99792E+05    4.12377E-01                                     
    3.5    0.42462   -8.33780E+04    1.96359E+05    4.22475E-01                                     
    4.0    0.41611   -8.04154E+04    1.93256E+05    4.31600E-01                                     
    4.5    0.40982   -7.80109E+04    1.90354E+05    4.40136E-01                                     
    5.0    0.40526   -7.61237E+04    1.87839E+05    4.47533E-01                                     
    5.5    0.40210   -7.45324E+04    1.85357E+05    4.54834E-01                                     
    6.0    0.39999   -7.32452E+04    1.83117E+05    4.61421E-01                                     
    6.5    0.39888   -7.21973E+04    1.80999E+05    4.67650E-01                                     
